"codigo","nombre","energia_kcal","agua_pct","fraccion_comestible_pct","proteina_g","grasa_total_g","ag_sat_g","ag_mono_g","ag_poli_g","colesterol_mg","carbohidratos_g","azucares_g","ceniza_g","fibra_dietetica_g","calcio_mg","hierro_mg","magnesio_mg","fosforo_mg","potasio_mg","sodio_mg","zinc_mg","cobre_mg","selenio_mcg","vitamina_c_mg","tiamina_mg","riboflavina_mg","niacina_mg","ac_pantotenico_mg","vitamina_b6_mg","ac_folico_mcg","folato_alimentos_mcg","folato_fde_mcg","vitamina_b12_mcg","vitamina_a_rae_mcg","retinol_mcg","b_carotenos_mcg","vitamina_e_mg","vitamina_d_mcg","vitamina_k_mcg"
"11125","PALMITO S/CORTEZA","115","70","0.95","2.7","0.2","0.05","0.01","0.09","0","25.61","17.16","1.5","1.99","18","1.69","10","140","1806","14","3.73","0.64","0.7","8","0.05","0.18","0.9",,"0.81","0","24","24","0","3","0","41","0.5","0","0"
"11126","RABANO, HOJAS","52","86","0.82","2.8","0.5","0.01","0.02","0.02","0","9.9",,"1.3",,"238","2.8","10",,"370","4","0.73",,,"122","0.14","0.26","0.6",,,,,,,"239",,,,,
"11127","PAPAS, C/CASCARA, CRUDAS","77","79","0.75","2.05","0.09","0.03","0","0.04","0","17.49","0.82","2.1","1.11","12","0.81","23","57","425","6","0.3","0.11","0.4","20","0.08","0.03","1.06","0.3","0.3","0","15","15","0","0","0","1","0.01","0","2"
"11128","PAPAS, C/CASCARA, COCIDAS C/CASCARA S/SAL","78","78","1","2.86","0.1","0.03","0","0.04","0","17.21",,"3.3","2.04","45","6.07","30","54","407","14","0.44","0.88","0.3","5","0.03","0.04","1.22","0.36","0.24","0","10","10","0","0","0",,,"0",
"11129","PAPAS, C/CASCARA, HORNEADAS S/SAL","93","75","1","2.5","0.13","0.03","0","0.06","0","21.15","1.18","2.2","1.33","15","1.08","28","70","535","10","0.36","0.12","0.4","10","0.06","0.05","1.41","0.38","0.31","0","28","28","0","1","0","6","0.04","0","2"
"11131","PAPAS, S/CASCARA, COCIDAS S/CASCARA S/SAL","86","77","1","1.71","0.1","0.03","0","0.04","0","20.01","0.89","1.8","0.72","8","0.31","20","40","328","5","0.27","0.17","0.3","7","0.1","0.02","1.31","0.51","0.27","0","9","9","0","0","0","1","0.01","0","2.2"
"11132","PAPAS, S/CASCARA, HORNEADAS S/SAL","93","75","0.77","1.96","0.1","0.03","0","0.04","0","21.55","1.7","1.5","0.97","5","0.35","25","50","391","5","0.29","0.22","0.3","13","0.11","0.02","1.4","0.56","0.3","0","9","9","0","0","0","0","0.04","0","0.3"
"11134","PAPAS, HARINA","357","7","1","6.9","0.34","0.09","0.01","0.15","0","83.1","3.52","5.9","3.14","65","1.38","65","168","1001","55","0.54","0.2","1.1","4","0.23","0.05","3.51","0.47","0.77","0","25","25","0","0","0","0","0.25","0","0"
"11135","PAPAS, PURE, PREPARADO C/LECHE","83","78","1","1.91","0.57","0.3","0.12","0.07","2","17.57","1.48","1.5","1.46","24","0.27","18","46","296","302","0.28","0.15","0.8","6","0.09","0.04","1.12","0.49","0.23","0","8","8","0.07","7","7","2","0.02","0.2","1.8"
"11136","PAPAS, PURE, PREPARADO C/LECHE Y MARGARINA","113","75","1","1.96","4.2","0.75","1.44","0.89","1","16.94","1.41","1.5","1.65","21","0.26","19","48","326","333","0.3","0.16","0.8","11","0.09","0.04","1.17","0.48","0.25","0","9","9","0.07","44","41","30","0.42","0.2","6"
"11137","PAPAS, PURE, HOJUELAS DESHID. NO PREPARADO","354","7","1","8.34","0.41","0.17","0.01","0.14","0","81.17","3.36","6.6","3.5","27","1.21","66","156","1098","77","0.7","0.16","13.4","81","0.99","0.11","6.26","2.08","0.75","0","46","46","0","1","0","6","0.03","0","8.7"
"11138","PEPINO DE ENSALADA O COJOMBRO, S/CASCARA","12","97","0.73","0.59","0.16","0.01","0","0","0","2.16","1.38","0.7","0.36","14","0.22","12","21","136","2","0.17","0.07","0.1","3","0.03","0.03","0.04","0.24","0.05","0","14","14","0","4","0","31","0.03","0","7.2"
"11139","PEPINILLOS ACIDOS O PICKLES ENLATADO","11","94","1","0.33","0.2","0.05","0","0.08","0","2.26","1.06","1.2","3.13","0","0.4","4","14","23","1208","0.02","0.09","0","1","0","0.01","0","0.04","0.01","0","1","1","0","10","0","81","0.09","0","47"
"11140","PEREJIL, FRESCO","36","88","0.95","2.97","0.79","0.13","0.3","0.12","0","6.33","0.85","3.3","2.2","138","6.2","50","58","554","56","1.07","0.15","0.1","133","0.09","0.1","1.31","0.4","0.09","0","152","152","0","421","0","5054","0.75","0","1640"
"11141","PITO O QUILITE, HOJAS Y BROTES","48","84","0.46","4.4","0.2",,,,,"10",,"2.4","1.2","108","2.2",,"80",,,,,,"37","0.19","0.19","1.2",,,,,,,"33",,,,,
"11142","PUERRO, CABEZA O BULBO Y HOJAS","61","83","0.44","1.5","0.3","0.04","0","0.17","0","14.15","3.9","1.8","1.05","59","2.1","28","35","180","20","0.12","0.12","1","12","0.06","0.03","0.4","0.14","0.23","0","64","64","0","83","0","1000","0.92","0","47"
"11143","QUIXTAN, HOJAS","47","85","0.58","5.8","1.4",,,,,"5.9",,"1.8","1.5","133","5.5",,"39",,,,,,"102","0.12","0.28","1.64",,,,,,,"1",,,,,
